"variable","treat","n","nonmissing","positive","mean","median"
"w_total_farm_exp","C",458,458,432,210014.229257642,139500
"w_total_farm_exp","T1",542,542,502,234281.457564576,162400
"w_total_farm_exp","T2",626,626,626,286844.809904153,259000
"w_total_farm_exp_exc_fert","C",458,458,348,59229.7532751092,20000
"w_total_farm_exp_exc_fert","T1",542,542,416,76105.2177121771,33947.5
"w_total_farm_exp_exc_fert","T2",626,626,523,69338.7667731629,40000
"farm_profits","C",458,458,444,602302.910480349,422500
"farm_profits","T1",542,542,493,559348.062730627,317250
"farm_profits","T2",626,626,560,681949.599041534,527250
"ln_total_farm_exp","C",458,348,348,11.7811559045977,12.125401
"ln_total_farm_exp","T1",542,416,416,12.027783528125,12.278394
"ln_total_farm_exp","T2",626,523,523,12.5217667552581,12.517227
"ln_total_farm_exp_positive","C",458,432,432,11.6702163182885,11.9543958410665
"ln_total_farm_exp_positive","T1",542,502,502,11.9189077689546,12.0973676357969
"ln_total_farm_exp_positive","T2",626,626,626,12.4132276079507,12.4645833406817
"ln_farm_profits","C",458,444,444,12.8725259326577,12.995665
"ln_farm_profits","T1",542,493,493,12.7022787503043,12.84661
"ln_farm_profits","T2",626,560,560,13.11966769125,13.307597
