"farmer_id","treat","main_crp","bags_Mcrp","maize_area","yield_maize","lnyield"
"F_3183","T2","MAIZE",3000,0.025,120000,11.695247
"F_1717","T2","MAIZE",1500,0.1,15000,9.6158056
"F_846","T2","MAIZE",1350,0.1,13500,9.5104446
"F_1876","T1","MAIZE",1620,0.15000001,10800,9.2873011
"F_2714","T2","MAIZE",900,0.1,9000,9.1049795
"F_2151","C","MAIZE",1200,0.15000001,7999.9995,8.9871969
"F_2494","T1","MAIZE",3000,0.40000001,7500,8.922658
"F_1884","T1","MAIZE",1400,0.2,7000,8.8536654
"F_1708","T2","MAIZE",1050,0.15000001,6999.9995,8.8536654
"F_295","T1","MAIZE",10000,1.5,6666.6665,8.8048754
"F_1923","C","MAIZE",2000,0.30000001,6666.6665,8.8048754
"F_1443","T2","MAIZE",600,0.1,6000,8.6995144
"F_1949","C","MAIZE",600,0.1,6000,8.6995144
"F_2203","T2","MAIZE",550,0.1,5500,8.6125031
"F_390","T1","MAIZE",2500,0.5,5000,8.5171928
"F_2724","T2","MAIZE",750,0.15000001,5000,8.5171928
"F_1431","T2","MAIZE",500,0.1,5000,8.5171928
"F_1450","T2","MAIZE",600,0.125,4800,8.4763708
"F_3326","T2","MAIZE",2250,0.5,4500,8.4118328
"F_1555","T1","MAIZE",3250,0.80000001,4062.5,8.3095541
"F_706","T2","MAIZE",1200,0.29570001,4058.167,8.3084869
"F_2390","T2","MAIZE",400,0.1,4000,8.2940493
"F_2377","T1","MAIZE",600,0.15000001,3999.9998,8.2940493
"F_1927","C","MAIZE",9550,2.5,3820,8.2480059
"F_3367","C","MAIZE",3750,1,3750,8.2295113
